                                   Glossery

+] Abbreviations
  Abs	Absolute
AC	AutoComplete
Acct	Account
ACD	AutoComplete Dictionary
Addr	Address
Alloc	Allocate
AOT	Ahead-of-Time
AP	ApplicationProcessor (Core1 - Core7)
Arg	Argument
Asm	Assemble, Assembler or Assembly
Attr	Attribute
Aux	Auxilliary
BG	Backround
Bin	Binary
Blk	Block
Bmp	BitMap
Buf	Buffer
Bwd	Backward
CB	Call-Back, Code Block
Cfg	Config
Chg	Change
Chk	Check
Const	Consant
Cmd	Command
Cmp	Compiler
Cnt	Count
Ctrl	Control.  The ctrl key is indicated with "^" in documentation.
Cur	Current
Cvt	Convert
Dbg	Debug
Dbl	Double
DC	Device Context
Del	Delete
Desc	Descriptor, Description
Dev	Device
Dft	Default
Dir	Directory, Direction
Div	Divide
Doc	Document
Drv	Drive
Dsk	Disk
Dst	Destination
Ed	Edit, Editor
Elem	Element
Equ	Equal
Evt	Event
Exe	Execute
Ext	Extern, Extended
Feat	Feature
FG	Foreground
Fmt	Format
Fwd	Forward
FPS	Frames per Second, First Person Shooter
fp_	Function ptr
Fun	Function
Gen	Generate
Glbl	Global
Gr	Graphic
IDE	Integrated Drive Electronics, Integrated Development Environment
Id	Identification
Ident	Identifier, Identity
IDT	Interrupt Descriptor Table
Init	Initialize
Ins	Insert
Int	Interrupt
ip_	Input Pointer.  See [C:/Kernel/SerialDev/InputPointer.CPP.Z,1]
  InputPointer.CPP.
Irq	Interrupt (Request)
JIT	Just-in-Time
Kbd	Keyboard
KD	Keyboard Device
Len	Length
Let	Letter
Lex	Lexical Analyser
Loc	Location, Lines of Code
Log	Logarithm, Logical
Lst	List
Man	Manual
Mem	Memory
Mgd	Managed
Mgr	Manager
Mon	Month
MP	MultiProcessor
Msg	Message
Num	Number
Obj	Object
Occ	Occurrence
ODE	Ordinary Differential Equation
Opt	Option, Optimize
Paren	Parenthesis
Pix	Pixel
Pkg	Package
Poly	Polygon
Pos	Position
Pow	Power
Prec	Precedence
Pri	Primary
Prod	Product, Production
Prof	Profile, Profiler
Prs	Parse, Parser
Prt	Partition
FunSeg	Program Section
Pt	Point
Ptr	Pointer
